sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-12-29 16:45:00,0.200,0.0525,0.652,0.802,0.00120,0.00314,0.00790,0.0525,0.0284
2022-12-29 17:00:00,0.200,0.0581,0.652,0.793,0.00127,0.00310,0.00780,0.0581,0.0326
2022-12-29 17:15:00,0.222,0.0544,0.652,0.801,0.00127,0.00312,0.00770,0.0544,0.0314
2022-12-29 17:30:00,0.200,0.0571,0.650,0.802,0.00120,0.00316,0.00670,0.0571,0.0323
2022-12-29 17:45:00,0.200,0.0559,0.650,0.805,0.00120,0.00310,0.00750,0.0559,0.0315
2022-12-29 18:00:00,0.200,0.0531,0.650,0.810,0.00120,0.00312,0.00730,0.0531,0.0322
2022-12-29 18:15:00,0.200,0.0536,0.651,0.809,0.00120,0.00316,0.00720,0.0536,0.0315
2022-12-29 18:30:00,0.200,0.0529,0.651,0.811,0.00120,0.00318,0.00780,0.0529,0.0320
2022-12-29 18:45:00,0.200,0.0517,0.651,0.811,0.00120,0.00312,0.00780,0.0517,0.0304
2022-12-29 19:00:00,0.154,0.0494,0.652,0.814,0.00120,0.00312,0.00760,0.0494,0.0289
2022-12-29 19:15:00,0.111,0.0560,0.652,0.820,0.00120,0.00314,0.00760,0.0560,0.0304
2022-12-29 19:30:00,0.182,0.0515,0.652,0.819,0.00120,0.00308,0.00690,0.0515,0.0310
2022-12-29 19:45:00,0.200,0.0554,0.653,0.820,0.00120,0.00310,0.00800,0.0554,0.0314
2022-12-29 20:00:00,0.200,0.0516,0.653,0.779,0.00120,0.00312,0.00780,0.0516,0.0312
2022-12-29 20:15:00,0.200,0.0519,0.653,0.783,0.00120,0.00316,0.00710,0.0519,0.0308
2022-12-29 20:30:00,0.222,0.225,0.653,0.803,0.00120,0.00308,0.00760,0.225,0.0321
2022-12-29 20:45:00,0.200,0.171,0.654,0.781,0.00120,0.00312,0.00750,0.171,0.0249
2022-12-29 21:00:00,0.182,0.144,0.654,0.778,0.00120,0.00276,0.00630,0.144,0.0241
2022-12-29 21:15:00,,,,,,,,,
2022-12-29 21:30:00,,,,,,,,,
2022-12-29 21:45:00,,,,,,,,,
2022-12-29 22:00:00,,,,,,,,,
2022-12-29 22:15:00,,,,,,,,,
2022-12-29 22:30:00,,,,,,,,,
2022-12-29 22:45:00,,,,,,,,,

